articles,summaries
 ساہیانوالہ پولیس کے مطابق کچھ ملزمان کو رکنے کا اشارہ کیا گیا تو وہ فائرنگ کرتے ہوئے فرار ہوگئے جس پر  پولیس نے ملزمان کا تعاقب کیا، بعدازاں سانگلہ کے علاقے میں ڈاکوؤں اور ملزمان کے درمیان  فائرنگ کا تبادلہ ہوا۔ پولیس نے بتایا کہ فائرنگ کے تبادلے میں 3 ملزمان مارے گئے، ملزمان پولیس اہلکار کو زخمی کرنے میں مطلوب تھے۔ پولیس کے مطابق ملزمان سے اسلحہ، موبائل فون، نقدی، موٹرسائیکل برآمد کیے گئے ہیں۔," ساہیانوالہ پولیس کے مبینہ ڈاکوؤں سے مقابلے میں 3 ملزمان  مارے گئے۔  ملزمان پولیس اہلکار کو زخمی کرنے  میں مطلوب تھے۔ ملزمان کے  قبضے سے اسلحہ، موبائل فون، نقدی اور موٹر سائیکلیں برآمد کر لی گئیں۔
"
آئی جی سندھ  اور  ایڈیشنل آئی جی کراچی نے شہر میں جرائم پر قابو پانےکے لیے دعوے اور وعدے  تو  بڑے کیے  مگر   وارداتوں کو   بریک  نہیں  لگ  سکا، شہر  میں  رواں سال  اب  تک ڈکیتی  مزاحمت کے  دوران  مسلح  ملزمان نے 90  افراد کی جان لے لی۔ کراچی میں جرائم پیشہ عناصر آزاد  اور  بے خوف پھر رہے ہیں جب کہ پولیس منظر سے غائب ہے۔ شہر قائد میں لوٹ مار کی وارداتوں میں مسلسل اضافہ ہو رہا ہے اور شہری بے بسی کی تصویر  بنے ہوئے ہیں، اگر کسی نے مزاحمت کرنے کی کوشش بھی کی تو ڈاکوؤں نے مال و متاع کے ساتھ جان بھی لے لی۔,"آی جی سندھ اور ایڈیشنل آئی جی کراچی کی یقین دہانیوں کے باوجود، کراچی میں جاری تشدد اور بڑھتی ہوئی ڈکیتیاں پولیس کی ناکافی موجودگی کے درمیان عوامی خطرے کے احساس کی عکاسی کرتی ہیں۔
"
کراچی میں رواں سال اب تک 90 شہری لوٹ مار کی وارداتوں کے دوران اپنی جان گنوا چکے ہیں جب کہ 398 افراد زخمی ہوئے ہیں۔ رواں سال اب تک 20 ہزار  سے  زائد  افراد کو  موبائل فون سے محروم کیا گیا ہے، 40 ہزار کے قریب موٹرسائیکل چھینی گئی ہیں اور  5 ہزار  سے زائد چوری کرلی گئی ہیں، اس کے علاوہ 1521 گاڑیاں بھی چھینی اور 187 چوری کی جا چکی ہیں۔  ایسے میں آئی جی سندھ اور  ایڈیشنل آئی جی کراچی کے دعوے محض دعوے نظر آتے ہیں جو نہ جانے کب پورے ہوں گے اور کب شہریوں کو سکون کا سانس لینا نصیب ہوگا۔,"کراچی میں رواں سال لوٹ مار کی وارداتوں میں 90 شہری جاں بحق اور 398 زخمی ہوئے۔ 20,000 سے زائد موبائل فون، 40,000 کے قریب موٹر سائیکلیں اور 5,000 سے زائد گاڑیاں چوری ہوِئی ہیں۔  آئی جی سندھ اور ایڈیشنل آئی جی کراچی کے وعدوں پر شکوک و شبہات  ہیں۔
"
کراچی میں سہراب گوٹھ کے علاقے مچھر کالونی میں پولیس مقابلہ ہوا ہے جس میں فائرنگ کے تبادلے کے دوران پولیس اہلکار زخمی ہوگیا۔ واقعے کے حوالے سے ایس ایس پی ایسٹ عرفان بہادر نے بتایا کہ واقعے میں پولیس کی جوابی فائرنگ کے بعد اسٹریٹ کرمنل کو زخمی حالت میں گرفتار کر لیا گیا ہے۔ واقعے کی تفصیل بتاتے ہوئے انہوں نے کہا کہ موٹر سائیکل سوار کانسٹیبل آصف اور کانسٹیبل صفدر پیٹرولنگ پر تھے کہ ملزمان سے ان کا ٹکراؤ ہو گیا۔ ایس ایس پی ایسٹ عرفان بہادر کے مطابق فائرنگ کے تبادلے میں کانسٹیبل آصف نے زخمی ہونے کے باوجود مقابلہ کر کے ملزم محمد گلاب کو زخمی حالت میں گرفتار کیا۔ ترجمان ایسٹ پولیس کا بتانا ہے کہ گرفتار ملزم محمد گلاب کے قبضے سے غیر قانونی پستول برآمد ہوا ہے۔,"کراچی کی مچھر کالونی میں حالیہ پولیس مقابلے میں اسٹریٹ کرمنل محمد گلاب کے ساتھ فائرنگ کے تبادلے کے دوران ایک پولیس اہلکار زخمی ہوگیا۔ زخمی ہونے کے باوجود کانسٹیبل آصف نے بہادری سے گلاب کو پکڑ لیا اور ایک غیر قانونی پستول بھی حراست میں لے لیا۔  
"
 جامعہ کراچی کے سلور جوبلی گیٹ کے باہر شادی ہال کے قریب دو طالبات اپنی دیگر ساتھی طالبات کے ہمراہ موجود تھیں کہ رکشا میں سوار افراد وہاں پہنچے اور انہیں اسلحے کے زور پر رکشا میں بٹھانے کی کوشش کرنے لگے۔ طالبات نے دعویٰ کیا کہ وہ فوری طور پر وہاں سے شور مچاتی ہوئی بھاگ گئیں جس کی وجہ سے رکشا میں سوار افراد بھی فرار ہوگئے۔,"کراچی یونیورسٹی کی دو طالبات نے دعویٰ کیا کہ یونیورسٹی کے باہر نامعلوم مسلح افراد نے انہیں زبردستی رکشا میں اغوا کرنے کی کوشش کی جس پر انہوں نے بھاگ کر جان بچائی۔اغوا کار فرار ہو گئے۔
"
کراچی یونیورسٹی کی دو طالبات نے دعویٰ کیا کہ یونیورسٹی کے باہر نامعلوم مسلح افراد نے انہیں زبردستی رکشا میں اغوا کرنے کی کوشش کی جس پر انہوں نے بھاگ کر جان بچائی۔ اس سلسلے میں پولیس حکام کا کہنا ہے کہ دو طالبات کے اغوا کی کوشش کے معاملے پر تحقیقات کا آغاز کردیا گیا ہے،  جائے واقعہ کے اطراف میں لگے سی سی ٹی وی کیمروں کی فوٹیجز حاصل کی جارہی ہیں۔ پولیس کا کہنا ہے کہ فوری طور پر واقعے کی نوعیت کے بارے میں کچھ نہیں کہا جا سکتا، دعویٰ کرنے والی طالبات کی دیگر ساتھیوں کو ڈھونڈا جا رہا ہے ان کے بیانات قلمبند کرنے کے بعد صورتحال کچھ واضح ہوسکے گی۔,"کراچی یونیورسٹی کی دو طالبات نے کیمپس کے قریب ایک رکشے میں مسلح افراد کی جانب سے اغوا کی کوشش کی اطلاع دی۔ پولیس نے  تحقیقات کا آغاز کردیا ہے اور جائے وقوعہ سے سی سی ٹی وی فوٹیج حاصل کی جارہی ہے۔ واقعہ کی نوعیت ابھی تک غیر یقینی ہے تاہم دیگر طلبہ کے بیانات لیے جا رہے ہیں۔
"
" کنزیومر پروٹیکشن کورٹ نے گٹکا رکھنے کا جرم ثابت ہونے پر مجرم آدم پٹھان کو ایک سال تک 50 نیم کے درخت لگانے اور ان کا خیال رکھنے سمیت 2لاکھ روپے جرمانے کی سزا سنائی۔  مجرم آدم پٹھان کو سزا سناتے ہوئے محکمہ فاریسٹ کے حکام کو ہدایت کی کہ وہ مجرم کی جانب سے درخت لگانے اور ان کا خیال رکھنے کی نگرانی کریں اور مجرم ہر مہینے محکمہ فاریسٹ کو اپنی رپورٹ دےگا۔مجرم کو رواں سال 75 کلو گرام گٹکے سمیت گرفتار کیا گیا تھا۔

","گٹکا سمگلنگ کیس میں جیکب آباد کی عدالت نے مجرم کو 2 لاکھ روپے جرمانہ اور ایک سال تک نیم کے 50 درخت لگانے اور  دیکھ بھال کرنے کا حکم دیا ہے۔ عدالت نے محکمہ جنگلات کو درخت لگانے کی نگرانی کرنے کا حکم دیا اور مجرم کو ماہانہ رپورٹ محکمہ کو جمع کرانی ہوگی۔
"
گزشتہ روز جامعہ کراچی کے ایچ ای جے ہاسٹل میں رہائش پذیر ایم فل کا طالب علم صبح نہانے گیا تھا، شام تک واش روم نہ کھلنے پر دروازہ توڑا گیا تو طالب علم کو مردہ پایا گیا۔ طالب علم کو اسپتال منتقل کیا گیا جہاں اس کی موت کی تصدیق ہوگئی۔ ولیس حکام کا کہنا ہے شام 7 سے 8 بجےکےدرمیان طالب علم کی  لاش ملنے کی اطلاع موصول ہوئی تھی، بظاہر دیکھنے سے لاش پر نشانا ت نہیں تھے۔," کراچی  کے ایچ ای جے ہاسٹل میں ایم فل کا طالب علم  صبح نہانے کے لیے گیا اور جب شام تک باتھ روم کا دروازہ بند رہا تو انہیں مردہ پایا گیا۔ مرحوم کے جسم پر کوئی واضح نشان نہیں ملا۔ 
"
 ایچ ای جے ہاسٹل میں رہائش پذیر ایم فل کا طالب علم صبح نہانے گیا تھا، شام تک واش روم نہ کھلنے پر دروازہ توڑا گیا تو طالب علم کو مردہ پایا گیا۔ پولیس کے مطابق عباسی شہید اسپتال میں طالب علم مختار کا پوسٹ مارٹم مکمل کرلیا گیا ہے، ابتدائی رپورٹ کے مطابق طالب علم نہاتے ہوئے باتھ روم میں گرگیا،گرنے سے مختار کو سر پر چوٹ آئی جو موت کا سبب بنی۔ پولیس کا کہنا ہے کہ مختار کو بروقت طبی امداد ملتی تو بچایا جاسکتا تھا ان کے جسم پر تشدد کے کوئی نشان نہیں ہیں، موت طبعی معلوم ہوتی ہے۔ مزید برآں طالب علم کے اہل خانہ لاش کو اسپتال سے آبائی گاؤں سوات کے لیے لیکر روانہ ہوگئے ہیں۔,"کراچی یونیورسٹی کا ایم فل کا طالب علم مختار ہاسٹل کے باتھ روم میں مردہ پایا گیا۔  پوسٹ مارٹم کے مطابق  تشدد کی کوئی علامات نہیں ہیں اور بروقت طبی امداد نہ ملنے سے اس کی موت قدرتیطور پر ہوئی۔ 
"
پولیس کے مطابق لاہور میں 19 سے 23 اکتوبر کے درمیان 9 افراد کے اغوا کی وارداتیں رپورٹ ہوئیں۔پولیس کا کہنا تھا کہ لاہور کے علاقے شیرا کوٹ میں تین کمسن بہن بھائیوں اور ٹھوکر نیاز بیگ لاری اڈے سے خاتون ایمن بی بی اور اسکے دو بچوں کو اغوا کیا گیا جبکہ فیصل ٹاؤن میں شہری نظام دین کی 13 تیرہ سال بیٹی کو اغوا کیا گیا۔ لیس کے مطابق ہنجروال کے علاقے سے 12 سالہ لڑکے کو اسکول سے واپسی پر نامعلوم افراد نے اغوا کر لیا جبکہ کوٹ لکھپت میں گلی میں کھیلتی 7 سالہ بچی بھی اغوا ہوگئی۔ تاہم اب تک پولیس ایک بھی مغوی کا پتا لگا کر اسے بازیاب کروانے میں کامیابی حاصل نہیں کر پائی ہے۔,"لاہور میں 19 سے 23 اکتوبر کے درمیان بچوں سمیت 9 افراد کو اغوا کیا گیا تھا۔ متاثرین میں 3 بہن بھائی' ایک خاتون اور اس کے 2بچے،  اور ایک 7 سالہ بچی شامل ہیں۔ پولیس اغوا کاروں  کو تلاش کرنے اور بازیاب کرانے میں ناکام رہی ہے۔
"
وفاقی تحقیقاتی ایجنسی (ایف آئی اے) نے لیبیا کشتی حادثے کا اہم ملزم گجرات سے گرفتار کرلیا۔ ڈائریکٹر ایف آئی اے گوجرانوالا زون ساجد اکرم چوہدری کے مطابق انسانی اسمگلرز کے خلاف گجرات میں کریک ڈاؤن کیا گیا اور لیبیا کشتی حادثے میں ملوث ملزم سیٹھ مسعود سمیت 5 ملزمان گرفتار کرلیے گئے۔ انہوں نے بتایاکہ ملزم  سیٹھ مسعود کا نام ایف آئی اے کی ریڈ بک میں شامل تھا، ملزم لیبیا کے راستے یورپ ہونے والی انسانی اسمگلنگ کا اہم کردار ہے جو سونے کے کاروبار کی آڑ میں انسانی اسمگلنگ میں ملوث انٹرنیشل گروہ کیلئے منی لانڈرنگ کرتا تھا۔,"ایف آئی اے نے  لیبیا کشتی حادثے کے مرکزی ملزم سیٹھ مسعود کو گرفتار کر لیا۔  انسانی سمگلروں کے خلاف کریک ڈاؤن کے دوران 5 مشتبہ افراد کو گرفتار کیا گیا۔ سیٹھ مسعود بین الاقوامی انسانی سمگلنگ گروپ کے  نیٹ ورک میں ایک اہم شخصیت تھا، اور سونے کے  تاجر کے بھیس میں کام کرتا تھا۔
"
 بھارتی میڈیا کے مطابق گرپریت سنگھ نامی شخص سوئٹزرلینڈ میں لینا نامی خاتون سے ملا تھا جہاں دونوں کی دوستی ہوگئی جس کے بعد وہ اکثر بھارت سے سوئٹزرلینڈ لینا سے ملنے جایا کرتا تھا۔ پولیس کے مطابق گرپریت کو اپنی گرل فرینڈ کا کسی اور سے تعلق ہونے پر شک ہوا جس پر اس نے لینا کو بھارت بلا کر قتل کرنے کا منصوبہ بنایا۔ پولیس کا بتانا ہےکہ گرپریت کے کہنے پر لینا 11 اکتوبر کو بھارت پہنچی اور 5  دن بعد گرپریت نے لینا کے دونوں ہاتھ اور ٹانگوں کو باندھ کر قتل کردیا جس کے بعد اس نے لینا کی لاش کو ایک شاپنگ بیگ میں ڈال کر گاڑی میں ہی رکھا اور تعفن آنے پر لاش کو نئی دہلی کے علاقے تلک نگر میں ایک سرکاری اسکول کے قریب پھینک دیا۔ پولیس نے بتایا کہ لاش ملنے پر پولیس حرکت میں آئی اور اس نے کارروائی کرتے ہوئے گرپریت کو گرفتار کرلیا جس نے واردات کا اعتراف بھی کیا۔,"بھارتی رپورٹس کے مطابق گرپریت سنگھ اور لینا کی ملاقات سوئٹزرلینڈ میں ہوئی۔ تاہم، گرپریت نے لینا پر بے وفائی کا شبہ کرتے ہویے اسے بھارت بلا کر قتل کر دیا۔اور لاش کو نئی دہلی کے ایک سرکاری اسکول کے قریب ٹھکانے لگا دیا۔  لاش ملنے پر پولیس نے گرپریت کو گرفتار کر کے جرم کا اعتراف کروایا۔
"
کراچی: بن قاسم روڈ سے  پولیس کے مطابق ایک بچے کی لاش پر تشدد کے نشانات بھی موجود تھے اور بچے کو کہیں اور قتل کرکے چادر میں لپیٹ کر لاش بن قاسم روڈ پرپھینکی گئی تھی، تحقیقات میں بچے سے بدفعلی کی تصدیق ہوئی ہے۔ اس حوالے سے ایس ایس پی ملیر کا کہنا ہے کہ اس واقعے کا مقدمہ سرکار کی مدعیت میں درج کیا گیا ہے جب کہ بچے کی شناخت اور ورثا کا تاحال معلوم نہیں ہوسکا،اس سلسلے میں 25 افراد کو حراست میں لے کر تفتیش کی گئی ہے۔ ایس ایس پی کے مطابق جہاں سے لاش ملی وہاں کوئی سی سی ٹی وی کیمرا نہیں تھا اس جائے وقوعہ کی جیو فینسگ کرائی گئی ہے۔ انہوں نے مزید کہا کہ ابتدا میں پوسٹ مارٹم نہ کرنے پر ایم ایل او کی غفلت سامنے آئی تھی جس پر ایم ایل او عبدالباسط کے خلاف کارروائی کے لیے بھی کہا گیا ہے لیکن ایک روز کی تاخیر سے بچےکا پوسٹ مارٹم کرکے نمونے حاصل کرلیے گئے ہیں۔,"کراچی میں بن قاسم روڈ پر 7 سالہ بچے کی لاش ملنے کی تحقیقات میں بچے کے ساتھ زیادتی اور تشدد کے نشانات کی تصدیق ہوگئی۔ بچے کو قتل کر کے چادر میں لپیٹ کر سڑک پر چھوڑ دیا گیا۔  25 افراد کو  حراست میں لیا گیا ہے۔ جائے وقوعہ پر سی سی ٹی وی کیمرے کی عدم موجودگی کے باعث اس جگہ کی جیو فینسگ کی گئی ہے۔ پوسٹ مارٹم کے حوالے سے ایم ایل او  کی غفلت کی وجہ ایک دن بعد نمونے جمع کیے گئے۔
"
